Performer,Song,spotify_genre
Roy Orbison,Candy Man,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock', 'rock-and-roll', 'rockabilly', 'soft rock']"
Post Malone,Candy Paint,"['dfw rap', 'melodic rap', 'rap']"
Soul For Real,Candy Rain,"['boy band', 'hip pop', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
50 Cent Featuring Olivia,Candy Shop,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
Pat Boone,Candy Sweet,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']"
Eddie Holland,Candy To Me,['motown']
Golden Earring,Candy's Going Bad,"['album rock', 'classic rock', 'dutch prog', 'dutch rock', 'nederpop', 'rock']"
Cameo,Candy,"['disco', 'funk', 'motown', 'new jack swing', 'popping', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
Doja Cat,Candy,"['la indie', 'pop', 'pop rap']"
Iggy Pop With Kate Pierson,Candy,
Christina Aguilera,Candyman,"['dance pop', 'pop', 'post-teen pop', 'r&b']"
Mandy Moore,Candy,"['dance pop', 'hollywood', 'movie tunes', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']"
The Astors,Candy,"['memphis soul', 'southern soul']"
Norman Greenbaum,Canned Ham,['classic rock']
Ke$ha,Cannibal,[]
Duane Eddy His Twangy Guitar And The Rebels,Cannonball,
Lea Michele,Cannonball,"['hollywood', 'pop', 'post-teen pop']"
Supertramp,Cannonball,"['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'piano rock', 'progressive rock', 'rock', 'soft rock']"
The Breeders,Cannonball,"['alternative pop', 'alternative rock', 'boston rock', 'dance rock', 'dayton indie', 'dream pop', 'garage rock', 'indie rock', 'lo-fi', 'noise pop', 'post-punk']"
US3,Cantaloop (Flip Fantasia),"['acid jazz', 'jazz rap', 'nu jazz']"
Minor Detail,Canvas Of Life,['deep new wave']
Marty Robbins,Cap And Gown,"['cowboy western', 'nashville sound']"
Frenship & Emily Warren,Capsize,"['electropop', 'indie electropop', 'indie pop', 'indie poptimism', 'indietronica', 'la pop', 'pop', 'pop edm', 'tropical house']"
Megan Thee Stallion,Captain Hook,"['houston rap', 'pop', 'pop rap', 'trap queen']"
Simon Stokes,Captain Howdy,[]
E-40,Captain Save A Hoe,"['cali rap', 'gangster rap', 'hip hop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'trap', 'west coast rap']"
Jay & The Americans,Capture The Moment,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
Blue,Capture Your Heart,"['dance pop', 'edm', 'pop', 'tropical house', 'uk dance']"
Christina Aguilera Featuring Missy Elliott,Car Wash,"['dance pop', 'pop', 'post-teen pop', 'r&b']"
Rose Royce,Car Wash,"['classic soul', 'disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul']"
The Strangeloves,Cara-Lin,"['classic garage rock', 'freakbeat']"
Jay & The Americans,"Cara, Mia","['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
City High Featuring Eve,Caramel,['hip pop']
Ozuna x Karol G x Myke Towers,Caramelo,
"Isley, Jasper, Isley",Caravan Of Love,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']"
Santo & Johnny,Caravan,['space age pop']
Don Toliver,Cardigan,"['rap', 'trap']"
Taylor Swift,Cardigan,"['pop', 'post-teen pop']"
Gordon Lightfoot,Carefree Highway,"['album rock', 'canadian country', 'canadian folk', 'canadian singer-songwriter', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk']"
Paramore,Careful,"['candy pop', 'emo', 'pixie', 'pop emo', 'pop punk']"
Ray Charles,Careless Love,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']"
Seether,Careless Whisper,"['alternative metal', 'nu metal', 'post-grunge', 'south african rock']"
Wham! Featuring George Michael,Careless Whisper,"['dance rock', 'new wave pop']"
Joni Mitchell,Carey,"['canadian folk', 'canadian singer-songwriter', 'folk', 'folk rock', 'lilith', 'mellow gold', 'rock', 'singer-songwriter', 'traditional folk']"
Enya,Caribbean Blue,"['celtic', 'middle earth']"
Kool & The Gang,Caribbean Festival,"['disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul']"
Billy Ocean,Caribbean Queen (No More Love On The Run),"['dance rock', 'disco', 'europop', 'mellow gold', 'motown', 'new romantic', 'new wave pop', 'soft rock', 'yacht rock']"
Mitchell Torok,Caribbean,[]
Phil Vassar,Carlene,"['contemporary country', 'country', 'country road', 'modern country rock']"
Herb Alpert & The Tijuana Brass,Carmen,"['adult standards', 'easy listening', 'lounge']"
Natalie Merchant,Carnival,"['folk', 'lilith', 'mellow gold', 'new wave pop', 'pop rock', 'singer-songwriter']"
Chuck Berry,Carol,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']"
Livingston Taylor,Carolina Day,['audiophile vocal']
Crystal Mansion Featuring Johnny Caswell,Carolina In My Mind,[]
James Taylor,Carolina In My Mind,"['adult standards', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
Michael Murphey,Carolina In The Pines,"['country rock', 'cowboy western', 'new mexico music', 'outlaw country']"
Parmalee,Carolina,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'modern uplift']"
Brian Wilson,"Caroline, No","['baroque pop', 'sunshine pop']"
Amine,Caroline,"['hip hop', 'pop', 'pop rap', 'portland hip hop', 'rap']"
Tommy Roe,Carol,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'merseybeat', 'rock-and-roll']"
Merle Haggard And The Strangers,Carolyn,['bakersfield sound']
Travis Scott,Carousel,['rap']
The 5th Dimension,Carpet Man,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk', 'folk rock', 'lounge', 'mellow gold', 'motown', 'soft rock', 'sunshine pop']"
The Hollies,Carrie-Anne,"['album rock', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic rock', 'classic uk pop', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'psychedelic rock', 'rock', 'rock-and-roll', 'soft rock']"
Le Roux,Carrie's Gone,['french movie tunes']
Cliff Richard,Carrie,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'europop', 'mellow gold', 'new wave pop', 'rock-and-roll', 'soft rock']"
Europe,Carrie,"['album rock', 'glam metal', 'hard rock', 'rock', 'swedish hard rock']"
The Rascals,Carry Me Back,"['brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'merseybeat', 'motown', 'psychedelic rock', 'rock-and-roll']"
Dr. Hook And The Medicine Show,"Carry Me, Carrie","['bubblegum pop', 'classic uk pop', 'country rock', 'folk rock', 'mellow gold', 'soft rock']"
David Crosby/Graham Nash,Carry Me,[]
Kansas,Carry On Wayward Son,"['album rock', 'art rock', 'bow pop', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']"
fun.,Carry On,"['baroque pop', 'metropopolis', 'modern rock', 'pop', 'pop rock']"
XXXTentacion,Carry On,"['emo rap', 'miami hip hop']"
Timbaland Featuring Justin Timberlake,Carry Out,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'rap', 'urban contemporary']"
L'Trimm,Cars With The Boom,"['miami bass', 'miami hip hop', 'old school hip hop']"
Gary Numan,Cars,"['art pop', 'art rock', 'dance rock', 'industrial rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'post-punk', 'synthpop']"
YoungBoy Never Broke Again,Carter Son,"['baton rouge rap', 'trap']"
Levert,Casanova,"['funk', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
Mya,Case Of The Ex (Whatcha Gonna Do),"['dance pop', 'deep pop r&b', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']"
Frank Stallone,Case Of You,['yacht rock']
DJ Suede The Remix God,Cash Me Outside (#CashMeOutside),['viral trap']
Megan Thee Stallion Featuring DaBaby,Cash Shit,"['houston rap', 'pop', 'pop rap', 'trap queen']"
Ca$h Out,Cashin' Out,"['atl hip hop', 'deep southern trap', 'rap', 'southern hip hop', 'trap']"
Herb Alpert & The Tijuana Brass,Casino Royale,"['adult standards', 'easy listening', 'lounge']"
Ruby Andrews,Casonova (Your Playing Days Are Over),"['classic soul', 'northern soul']"
TakeOff,Casper,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Shelby Flint,Cast Your Fate To The Wind,['movie tunes']
Sounds Orchestral,Cast Your Fate To The Wind,[]
Steve Alaimo,Cast Your Fate To The Wind,[]
Vince Guaraldi Trio,Cast Your Fate To The Wind,"['adult standards', 'christmas instrumental', 'jazz trio']"
Zac Brown Band,Castaway,"['contemporary country', 'country', 'country road', 'modern country rock']"
The Johnny Otis Show,Castin' My Spell,
Ed Sheeran,Castle On The Hill,"['pop', 'uk pop']"
Don McLean,Castles In The Air,"['adult standards', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'traditional folk']"
Little Stevie Wonder,Castles In The Sand,
Ian Van Dahl Featuring Marsha,Castles In The Sky,"['bubble trance', 'eurodance']"
Rej3ctz,Cat Daddy,[]
David Bowie,Cat People (Putting Out Fire),"['album rock', 'art rock', 'classic rock', 'dance rock', 'glam rock', 'permanent wave', 'protopunk', 'rock']"
Ted Nugent,Cat Scratch Fever,"['album rock', 'blues rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock', 'southern rock']"
Tommy James,Cat's Eye In The Window,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'classic rock', 'folk rock', 'mellow gold', 'merseybeat', 'rock', 'rock-and-roll', 'soft rock']"
Harry Chapin,Cat's In The Cradle,"['folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'traditional folk']"
Ugly Kid Joe,Cat's In The Cradle,"['funk metal', 'funk rock', 'glam metal', 'hard rock', 'post-grunge', 'rock']"
Pretty Poison,"Catch Me (I'm Falling) (From The Film ""Hiding Out"")",['freestyle']
Real Life,Catch Me I'm Falling,"['post-teen pop', 'social media pop', 'teen pop']"
Demi Lovato,Catch Me,"['dance pop', 'pop', 'post-teen pop']"
Kelly Clarkson,Catch My Breath,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']"
Billy Idol,Catch My Fall,"['album rock', 'classic rock', 'dance rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']"
Donovan,Catch The Wind,"['art rock', 'brill building pop', 'british folk', 'british invasion', 'classic rock', 'classic uk pop', 'folk', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic folk', 'psychedelic rock', 'rock', 'roots rock', 'scottish singer-songwriter', 'singer-songwriter', 'soft rock', 'traditional folk']"
The Dave Clark Five,Catch Us If You Can,"['brill building pop', 'british invasion', 'bubblegum pop', 'classic garage rock', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll']"
Brett Young,Catch,['contemporary country']
Spyro Gyra,Catching The Sun,"['jazz funk', 'jazz fusion', 'progressive jazz fusion', 'smooth jazz']"
Destiny's Child,Cater 2 U,"['dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
Perry Como,Caterina,"['adult standards', 'brill building pop', 'easy listening', 'vocal jazz']"
Four Tops,Catfish,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']"
D.C. LaRue,Cathedrals,['deep disco']
The Everly Brothers,Cathy's Clown,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']"
Tori Amos,Caught A Lite Sneeze,"['art pop', 'ectofolk', 'folk', 'lilith', 'melancholia', 'new wave pop', 'permanent wave', 'piano rock', 'pop rock', 'singer-songwriter']"
Alice Cooper,Caught In A Dream,"['album rock', 'blues rock', 'classic rock', 'comic', 'glam metal', 'glam rock', 'hard rock', 'metal', 'protopunk', 'rock']"
Survivor,Caught In The Game,"['album rock', 'hard rock', 'rock', 'soft rock']"
Kelis,Caught Out There,"['dance pop', 'electropop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'urban contemporary']"
JAY-Z Featuring Frank Ocean,Caught Their Eyes,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
Anita Baker,Caught Up In The Rapture,"['funk', 'motown', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'smooth jazz', 'soul', 'urban contemporary']"
38 Special,Caught Up In You,"['album rock', 'classic rock', 'country rock', 'folk rock', 'glam metal', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
Usher,Caught Up,"['atl hip hop', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
Madonna,Causing A Commotion,"['dance pop', 'pop']"
Migos Featuring Gucci Mane,CC,"['atl hip hop', 'pop rap', 'rap', 'trap']"
Andrew McMahon In The Wilderness,Cecilia And The Satellite,"['hopebeat', 'indie pop', 'indie poptimism', 'indietronica', 'modern rock', 'neo mellow', 'piano rock', 'pop rock', 'stomp and holler']"
Simon & Garfunkel,Cecilia,"['classical performance', 'orchestral performance']"
Times Two,Cecilia,[]
Rick Springfield,Celebrate Youth,"['album rock', 'australian rock', 'bubblegum pop', 'classic rock', 'dance rock', 'mellow gold', 'new wave pop', 'pop rock', 'rock', 'soft rock', 'yacht rock']"
DJ Khaled Featuring Travis Scott & Post Malone,Celebrate,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Three Dog Night,Celebrate,"['album rock', 'art rock', 'blues rock', 'brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'soft rock']"
Lil Uzi Vert,Celebration Station,"['melodic rap', 'philly rap', 'rap', 'trap']"
Fun Factory,Celebration/Take Your Chance,"['bubblegum dance', 'eurodance', 'europop', 'hip house']"
"Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne",Celebration,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Kool & The Gang,Celebration,"['disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul']"
Madonna,Celebration,"['dance pop', 'pop']"
Tommy James,Celebration,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'classic rock', 'folk rock', 'mellow gold', 'merseybeat', 'rock', 'rock-and-roll', 'soft rock']"
Hole,Celebrity Skin,"['alternative rock', 'grunge', 'lilith', 'pop rock', 'post-grunge', 'rock']"
Brad Paisley,Celebrity,"['contemporary country', 'country', 'country road']"
Donovan,Celia Of The Seals,"['art rock', 'brill building pop', 'british folk', 'british invasion', 'classic rock', 'classic uk pop', 'folk', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic folk', 'psychedelic rock', 'rock', 'roots rock', 'scottish singer-songwriter', 'singer-songwriter', 'soft rock', 'traditional folk']"
Goodie Mob,Cell Therapy,"['alternative hip hop', 'atl hip hop', 'conscious hip hop', 'dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'southern hip hop']"
John Fogerty,Centerfield,"['blues rock', 'classic rock', 'country rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock']"
The J. Geils Band,Centerfold,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'new wave pop', 'power pop', 'rock', 'roots rock', 'soft rock']"
Rebbie Jackson,Centipede,['urban contemporary']
Fall Out Boy,Centuries,"['emo', 'modern rock', 'pop punk']"
Donald Fagen,"Century's End (From ""Bright Lights, Big City"")","['art rock', 'classic uk pop', 'jazz fusion', 'mellow gold', 'soft rock', 'yacht rock']"
K.T.P.,Certain Things Are Likely,[]
Bert Kaempfert And His Orchestra,Cerveza,[]
Boots Brown And His Blockbusters,Cerveza,[]
The Johnny Average Band Featuring Nikki Wills,Ch Ch Cherie,[]
Beastie Boys,Ch-Check It Out,"['alternative rock', 'east coast hip hop', 'hip hop', 'old school hip hop', 'rap']"
Mr. C The Slide Man,Cha-Cha Slide,['kids dance party']
Jim Croce,Chain Gang Medley,"['album rock', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
Jackie Wilson & Count Basie,Chain Gang,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']"
Sam Cooke,Chain Gang,"['adult standards', 'brill building pop', 'classic soul', 'rock-and-roll', 'soul']"
Jibbs,Chain Hang Low,"['dirty south rap', 'pop rap', 'southern hip hop']"
Jimmy Smith,Chain Of Fools (Part 1),"['bebop', 'contemporary post-bop', 'cool jazz', 'hammond organ', 'hard bop', 'jazz', 'jazz blues', 'jazz funk', 'jazz organ', 'soul jazz']"
Aretha Franklin,Chain Of Fools,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']"
Little Caesar,Chain Of Fools,"['deep melodic hard rock', 'glam metal', 'hard rock', 'modern hard rock', 'sleaze rock']"
Diana Ross,Chain Reaction,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']"
Otis Redding,Chained And Bound,"['classic soul', 'funk', 'memphis soul', 'soul', 'soul blues', 'southern soul']"
Katy Perry Featuring Skip Marley,Chained To The Rhythm,
Marvin Gaye,Chained,"['classic soul', 'funk', 'motown', 'northern soul', 'quiet storm', 'soul']"
B.B. King,Chains And Things,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']"
Richard Marx,Chains Around My Heart,"['mellow gold', 'new wave pop', 'soft rock']"
Bobby Bland,Chains Of Love,"['blues', 'electric blues', 'soul', 'soul blues', 'southern soul']"
Erasure,Chains Of Love,"['dance pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
The Drifters,Chains Of Love,"['adult standards', 'brill building pop', 'bubblegum pop', 'lounge', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly', 'soul']"
